timestamp,drone_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
111.334,2,-10.052850,21.275800,21.528290,-0.000256,-0.998948,-0.017688,-0.042304
111.334,3,0.017025,11.272870,23.051490,-0.000261,-0.999789,-0.017593,-0.010615
112.337,0,0.865408,21.191610,-23.153920,0.017509,-0.037256,0.002495,0.999149
112.337,1,21.715770,11.457200,14.130780,-0.001238,-0.732144,-0.001092,0.681148
112.337,2,-9.777864,21.576250,21.199150,-0.000441,-0.998950,-0.017624,-0.042297
112.337,3,0.040548,11.354450,24.417330,-0.000052,-0.999789,-0.017591,-0.010618
113.340,0,0.950284,21.074160,-19.708670,-0.011948,-0.030890,0.016834,0.999310
113.340,1,23.604580,11.572530,14.119030,0.012529,-0.732102,0.012384,0.680967
113.340,2,-9.601054,21.625310,22.428980,-0.000227,-0.998950,-0.017615,-0.042301
113.340,3,0.042608,11.358320,26.550140,0.000415,-0.999886,0.010273,-0.011045
114.846,0,-1.460687,21.677240,-17.746710,-0.017108,-0.034589,0.012137,0.999182
114.846,1,22.918150,11.575920,14.027250,0.012612,-0.732101,0.012291,0.680968
114.846,2,-9.546307,21.326360,26.257850,0.002925,-0.999635,0.011160,-0.024416
114.846,3,0.003432,11.524850,27.265010,0.000206,-0.999820,0.015354,-0.011190
115.848,0,-3.566127,21.882500,-18.648650,-0.017427,-0.035341,-0.004919,0.999211
115.848,1,20.811200,11.335320,13.943820,0.011041,-0.732071,0.010750,0.681054
115.848,2,-9.784745,21.516790,27.641890,0.002636,-0.999552,0.017657,-0.024010
115.848,3,-0.020245,11.390720,26.047290,0.000025,-0.999879,0.010831,-0.011137
128.888,0,-4.590658,21.434990,-24.948350,-0.016602,-0.025897,-0.012647,0.999447
128.888,1,23.151940,11.503570,13.931220,0.013929,-0.735598,0.011134,0.677184
128.888,2,-9.786716,21.649960,21.481160,0.003420,-0.999655,-0.017527,-0.019277
128.888,3,0.003745,11.583680,27.419400,0.000202,-0.999796,0.016108,-0.012191
129.892,0,-3.178891,21.699700,-27.896570,0.018019,-0.025797,-0.012099,0.999432
129.892,1,23.667980,11.898490,14.132510,0.017081,-0.735521,0.008183,0.677238
129.892,2,-10.351250,22.897790,23.357130,0.014281,-0.999556,-0.012387,-0.023035
129.892,3,-0.002467,14.010890,26.181860,0.000124,-0.999817,0.014748,-0.012171
130.894,0,-1.016974,22.346970,-28.616820,0.017894,-0.025649,-0.011599,0.999444
130.894,1,22.490850,12.272810,14.737820,0.016323,-0.735538,0.008882,0.677229
130.894,2,-12.232820,25.290490,25.848540,0.016349,-0.998408,0.004107,-0.053821
130.894,3,-0.000542,18.484860,23.569670,-0.000818,-0.999794,0.016175,-0.012221
131.898,0,1.517890,22.653430,-27.628960,0.017858,-0.025674,-0.010198,0.999459
131.898,1,20.097090,12.460960,15.571610,0.015795,-0.735549,0.009368,0.677222
131.898,2,-14.715530,27.921460,27.022190,0.001980,-0.991292,0.017911,-0.130448
131.898,3,0.618978,23.023630,20.779970,-0.017335,-0.999287,-0.012103,-0.031294
132.901,0,4.207810,22.610290,-25.424670,0.015064,-0.024312,-0.009332,0.999547
132.901,1,16.999970,12.483280,16.666800,0.005592,-0.799708,-0.012336,0.600236
132.901,2,-16.617820,29.503400,26.415740,0.001451,-0.980404,0.018157,-0.196156
132.901,3,2.405327,25.655330,19.092310,-0.017745,-0.999709,0.007188,-0.014695
133.904,0,7.003040,22.370620,-22.440130,0.013753,-0.023719,-0.008724,0.999586
133.904,1,14.599350,12.625640,18.553790,0.005324,-0.901505,-0.010493,0.432608
133.904,2,-17.878140,29.658380,24.567300,-0.000795,-0.961627,0.017941,-0.273773
133.904,3,4.539510,26.154410,17.425300,0.017711,-0.999650,0.000582,-0.019639
134.905,0,9.886645,22.293010,-19.594480,-0.016693,-0.005849,-0.014206,0.999743
134.905,1,12.789200,12.476010,20.910160,0.010293,-0.969814,-0.009372,0.243451
134.905,2,-18.352750,28.790640,21.936280,-0.002736,-0.934926,0.017633,-0.354394
134.905,3,5.033092,25.307080,16.147300,0.017609,-0.999675,-0.000835,-0.018426
135.907,0,13.207620,22.414480,-18.597550,-0.004920,-0.145577,-0.011365,0.989270
135.907,1,10.849590,12.171330,23.603200,0.008080,-0.996651,-0.011049,0.080626
135.907,2,-17.999390,27.551350,18.765380,-0.004918,-0.893783,0.017080,-0.448148
135.907,3,3.969572,24.240310,15.641140,0.010680,-0.999781,-0.017583,-0.003807
136.911,0,16.719290,22.282480,-18.196480,0.001783,-0.342240,-0.014857,0.939494
136.911,1,8.586528,11.977260,26.333520,0.017914,-0.999356,0.007656,0.030119
136.911,2,-16.968810,26.568330,15.474090,0.005721,-0.808080,-0.008018,-0.588990
136.911,3,2.219068,23.835260,16.766540,0.003098,-0.999834,-0.017579,-0.003688
138.418,0,22.256470,21.900450,-16.812850,0.014130,-0.542174,-0.010869,0.840077
138.418,1,3.590521,12.068290,28.284280,0.015180,-0.999422,0.008920,0.029081
138.418,2,-17.346000,26.418110,12.212850,0.011322,-0.718618,-0.013539,-0.695181
138.418,3,-0.790959,22.924270,19.741480,0.017465,-0.999571,0.008326,-0.021992
139.420,0,25.129460,22.029540,-14.640350,0.024026,-0.624216,-0.004312,0.780871
139.420,1,-0.336291,12.151220,28.297930,0.013476,-0.999450,0.009268,0.028862
139.420,2,-19.313020,26.633930,10.927510,0.010830,-0.718624,-0.013997,-0.695173
139.420,3,-3.768660,22.289220,20.550220,-0.011229,-0.999640,0.007836,-0.023085
140.423,0,26.324440,22.172990,-11.123910,0.022654,-0.692957,-0.003095,0.720616
140.423,1,-4.490055,12.198710,27.533450,0.011622,-0.999477,0.009850,0.028526
140.423,2,-22.001500,27.042980,10.246450,-0.017504,-0.724869,0.007651,-0.688622
140.423,3,-5.407610,22.327670,20.458720,-0.017762,-0.999516,0.005502,-0.024942
141.425,0,26.248820,22.195810,-7.031170,0.013505,-0.688460,-0.006725,0.725118
141.425,1,-8.500057,12.211480,26.165780,0.008407,-0.999511,0.010506,0.028212
141.425,2,-22.880930,27.714080,10.285860,-0.016516,-0.724890,0.008572,-0.688613
141.425,3,-5.052053,22.350910,19.960630,-0.017700,-0.999480,0.003400,-0.026751
142.426,0,25.760000,22.168980,-2.770760,0.012545,-0.688764,-0.004845,0.724861
142.426,1,-12.144200,12.266180,24.277930,-0.004949,-0.998683,0.015404,-0.048688
142.426,2,-22.062600,27.894540,10.736570,-0.015169,-0.724919,0.009852,-0.688596
142.426,3,-3.286180,22.276960,19.343890,-0.017660,-0.999453,0.002057,-0.027904
143.428,0,24.964390,22.131920,1.398520,0.008027,-0.688899,0.000033,0.724813
143.428,1,-14.339770,12.554240,21.888940,-0.008018,-0.978852,-0.015165,-0.203849
143.428,2,-20.009520,27.636980,11.336490,-0.013815,-0.724938,0.011009,-0.688587
143.428,3,-0.483286,22.130170,18.749820,-0.017696,-0.999477,0.003272,-0.026860
144.430,0,23.936720,22.331260,4.827783,-0.008562,-0.689971,0.009635,0.723722
144.430,1,-15.504500,12.822830,21.019010,0.001171,-0.959374,-0.017914,-0.281565
144.430,2,-17.382340,27.347620,11.899520,0.013258,-0.724630,-0.011598,-0.688913
144.430,3,3.095942,21.952680,18.095470,-0.017704,-0.999483,0.003552,-0.026620
145.433,0,23.095170,22.694410,6.349027,-0.015614,-0.692943,0.009417,0.720762
145.433,1,-16.844580,12.728160,21.770700,0.002529,-0.946147,-0.017668,-0.323244
145.433,2,-16.484920,27.477310,12.263860,0.013716,-0.724621,-0.011230,-0.688920
145.433,3,7.189341,21.882960,17.353880,0.012508,-0.999557,0.001209,-0.026966
146.435,0,22.779840,22.712270,6.010197,-0.016147,-0.693661,0.008305,0.720072
146.435,1,-18.387700,12.444970,23.744900,-0.004470,-0.945625,-0.020133,-0.324604
146.435,2,-17.306240,27.440560,12.426810,0.013497,-0.724626,-0.011438,-0.688915
146.435,3,9.647319,22.693520,16.696600,0.017949,-0.999646,-0.013531,-0.014222
147.436,0,22.967560,22.438600,4.397743,-0.011810,-0.693630,0.004187,0.720223
147.436,1,-19.755010,12.104810,26.897680,-0.006549,-0.947161,-0.011551,-0.320483
147.436,2,-19.394350,27.260190,12.462520,0.013285,-0.724630,-0.011640,-0.688912
147.436,3,9.981020,23.095960,17.091610,0.011103,-0.999729,-0.017472,-0.010696
148.436,0,23.527360,22.120560,2.283909,-0.004454,-0.693295,-0.000789,0.720639
148.436,1,-20.220680,12.455100,29.893970,-0.010007,-0.950846,0.015247,-0.309128
148.436,2,-22.111270,27.110920,12.402450,-0.010752,-0.722512,0.013436,-0.691144
148.436,3,8.977500,22.952820,18.566130,0.017573,-0.999501,0.000866,-0.026223
149.439,0,24.224640,21.967790,0.550627,0.007054,-0.693933,-0.006033,0.719980
149.439,1,-19.347240,12.872610,31.173560,-0.007010,-0.959211,0.016273,-0.282135
149.439,2,-23.127390,27.389460,12.189760,-0.011966,-0.722468,0.012895,-0.691181
149.439,3,6.777073,22.639860,19.712350,0.017513,-0.999444,0.003170,-0.028199
150.445,0,24.697280,21.968730,0.022960,0.012469,-0.695361,-0.006539,0.718523
150.445,1,-17.737260,12.928030,30.972390,-0.005076,-0.970464,0.016837,-0.240603
150.445,2,-22.377050,27.449770,11.937440,-0.012488,-0.722459,0.012396,-0.691190
150.445,3,3.626247,22.201540,20.278910,0.017520,-0.999451,0.002899,-0.027967
151.448,0,24.714790,21.962750,0.748812,0.010810,-0.695693,-0.003904,0.718248
151.448,1,-15.845190,12.679080,29.559640,-0.002722,-0.977132,0.017410,-0.211904
151.448,2,-20.356370,27.284850,11.727850,-0.012836,-0.722453,0.012063,-0.691195
151.448,3,-0.143076,21.820140,20.396600,0.017483,-0.999411,0.004332,-0.029197
152.449,0,24.345030,21.948500,2.128858,0.004428,-0.695393,0.000243,0.718616
152.449,1,-13.892290,12.283770,27.159440,-0.002524,-0.982992,0.017424,-0.182801
152.449,2,-17.584220,27.106060,11.587430,0.011782,-0.721987,-0.011756,-0.691706
152.449,3,-4.404113,21.621540,20.084240,0.014724,-0.999434,0.004990,-0.029843
153.452,0,23.818370,21.983270,3.365710,-0.004694,-0.695674,0.004133,0.718330
153.452,1,-12.064770,11.932540,23.984620,0.002090,-0.991604,0.009848,-0.128918
153.452,2,-16.393460,27.445020,11.505030,0.012703,-0.721984,-0.012189,-0.691686
153.452,3,-8.809163,21.716070,19.384070,-0.011176,-0.999482,0.003157,-0.030008
154.455,0,23.455990,22.034520,3.776863,-0.009354,-0.696516,0.004709,0.717465
154.455,1,-10.810970,12.227950,21.166060,0.003694,-0.996590,-0.017371,-0.080577
154.455,2,-16.993710,27.571710,11.447220,0.012601,-0.721986,-0.012287,-0.691684
154.455,3,-11.468690,22.702120,18.587360,-0.017774,-0.995943,0.003679,-0.088139
155.458,0,23.439190,22.020550,3.279088,-0.008214,-0.696726,0.002746,0.717285
155.458,1,-10.307200,12.749520,20.404890,0.001108,-0.998710,-0.017553,-0.047644
155.458,2,-18.902890,27.456530,11.416950,0.012535,-0.721987,-0.012350,-0.691683
155.458,3,-11.903670,23.223990,17.812220,-0.016509,-0.982275,0.003466,-0.186683
156.461,0,23.727980,21.963350,2.287955,-0.003054,-0.696528,-0.000378,0.717524
156.461,1,-10.123010,12.909620,21.289200,-0.000228,-0.999532,-0.017604,-0.025025
156.461,2,-21.653350,27.202590,11.434760,-0.010121,-0.723577,0.007470,-0.690130
156.461,3,-11.566840,22.959220,16.951690,0.016983,-0.982284,0.005117,-0.186558
157.965,0,24.296370,21.918910,1.186709,0.006138,-0.696982,-0.003599,0.717054
157.965,1,-10.033740,12.562350,24.861440,0.003537,-0.999575,-0.017260,-0.023218
157.965,2,-22.997570,27.455280,11.666740,-0.013116,-0.723929,0.011799,-0.689649
157.965,3,-13.378770,22.210610,14.929640,0.014884,-0.894510,-0.000688,-0.446799
158.966,0,24.421970,21.903110,1.304566,0.007253,-0.697322,-0.002829,0.716716
158.966,1,-10.390460,12.423270,27.566930,0.006998,-0.999197,0.017520,-0.035344
158.966,2,-21.786280,27.378750,11.834890,-0.012597,-0.723939,0.012294,-0.689640
158.966,3,-15.524800,21.793990,13.197190,0.013898,-0.783446,0.010785,-0.621211
159.969,0,24.271140,21.877540,1.964188,0.004149,-0.697242,-0.000565,0.716823
159.969,1,-11.186820,12.566660,28.307680,0.002912,-0.999207,0.017704,-0.035542
159.969,2,-19.420810,27.135710,11.940190,-0.011790,-0.723952,0.012436,-0.689637
159.969,3,-17.520810,21.568880,10.469650,0.018056,-0.723256,0.005122,-0.690325
160.972,0,23.963290,21.868290,2.711626,-0.001265,-0.697227,0.001857,0.716847
160.972,1,-11.967760,12.510500,27.365820,-0.000308,-0.999211,0.017590,-0.035599
160.972,2,-16.961060,27.187850,11.956990,0.013262,-0.724828,-0.011807,-0.688702
160.972,3,-19.768040,21.519480,7.191803,0.015795,-0.725439,-0.002920,-0.688099
161.974,0,23.703560,21.881270,3.081182,-0.005278,-0.697539,0.002798,0.716523
161.974,1,-12.444840,12.302350,25.212680,-0.004097,-0.998076,0.013252,-0.060424
161.974,2,-16.499010,27.492990,11.919830,0.013061,-0.724826,-0.011853,-0.688707
161.974,3,-22.495730,21.686400,3.885952,0.013613,-0.721532,0.007813,-0.692204
162.975,0,23.646840,21.886890,2.895144,-0.005493,-0.697701,0.001897,0.716366
162.975,1,-12.387530,12.178940,22.588320,-0.001485,-0.995970,-0.010446,-0.089062
162.975,2,-17.631510,27.547720,11.858510,0.012894,-0.724829,-0.012012,-0.688703
162.975,3,-24.995260,21.898400,0.218841,0.013291,-0.721405,0.007849,-0.692342
163.977,0,23.802600,21.877910,2.339729,-0.002438,-0.697623,-0.000013,0.716461
163.977,1,-12.266710,12.479920,21.337080,0.001989,-0.993354,-0.017475,-0.113749
163.977,2,-19.936410,27.378710,11.798290,0.012626,-0.724834,-0.012267,-0.688699
163.977,3,-26.884060,22.260540,-3.699734,-0.007907,-0.712904,0.017090,-0.701009
164.980,0,24.052080,21.872560,1.796716,0.001855,-0.697663,-0.001725,0.716422
164.980,1,-12.507750,12.644180,21.863210,0.002594,-0.993351,-0.017407,-0.113773
164.980,2,-22.470810,27.295800,11.772910,-0.013083,-0.725416,0.012031,-0.688081
164.980,3,-26.964310,22.757120,-7.269974,-0.008887,-0.712922,0.015931,-0.701006
165.983,0,24.231700,21.872870,1.601544,0.004467,-0.697865,-0.002127,0.716212
165.983,1,-13.078040,12.579030,23.719330,0.002553,-0.993351,-0.017412,-0.113773
165.983,2,-23.073640,27.467000,11.782700,-0.012945,-0.725412,0.011966,-0.688090
165.983,3,-25.539630,22.840550,-10.394820,-0.009414,-0.712915,0.015412,-0.701018
166.985,0,24.231770,21.865550,1.838126,0.003992,-0.697924,-0.001173,0.716160
166.985,1,-13.664440,12.417220,26.226680,-0.007053,-0.994181,0.012630,-0.106750
166.985,2,-22.024810,27.405310,11.807760,-0.012751,-0.725415,0.012149,-0.688086
166.985,3,-23.056510,22.584260,-13.020080,-0.009836,-0.712908,0.014997,-0.701028
167.987,0,24.077190,21.854530,2.301230,0.001111,-0.697869,0.000400,0.716225
167.987,1,-13.490840,12.572310,27.336190,-0.005097,-0.994254,0.017147,-0.105539
167.987,2,-19.779500,27.167900,11.822320,-0.012530,-0.725419,0.012353,-0.688083
167.987,3,-19.753080,22.227740,-15.192350,-0.014607,-0.637005,0.010019,-0.770656
168.991,0,23.881050,21.851630,2.677519,-0.002197,-0.697932,0.001553,0.716159
168.991,1,-12.790250,12.521780,26.777470,-0.002647,-0.994264,0.017408,-0.105496
168.991,2,-17.170240,27.130690,11.808720,0.013202,-0.725788,-0.012042,-0.687687
168.991,3,-16.110930,22.027410,-16.648600,0.008984,-0.503738,-0.002477,-0.863806
169.991,0,23.771570,21.853140,2.740728,-0.003701,-0.698052,0.001572,0.716036
169.991,1,-11.911380,12.311210,24.986250,0.000081,-0.994368,0.011867,-0.105312
169.991,2,-16.475420,27.459670,11.768610,0.013015,-0.725780,-0.011900,-0.687701
169.991,3,-13.708710,22.162920,-18.242740,0.012422,-0.322606,-0.000913,-0.946452
170.995,0,23.807630,21.850420,2.488789,-0.002724,-0.698057,0.000612,0.716036
170.995,1,-11.179190,12.183060,22.738180,0.001984,-0.994570,-0.014317,-0.103065
170.995,2,-17.438650,27.549070,11.713160,0.012851,-0.725783,-0.012055,-0.687698
170.995,3,-12.242510,22.109490,-20.384290,0.014073,-0.171349,0.007457,-0.985082
171.997,0,23.950270,21.847100,2.115961,-0.000143,-0.698032,-0.000626,0.716066
171.997,1,-10.869070,12.435560,21.892390,0.001092,-0.996726,-0.017557,-0.078914
171.997,2,-19.618720,27.409020,11.664310,0.012710,-0.725786,-0.012188,-0.687695
171.997,3,-10.773730,21.934780,-23.194590,0.007621,-0.066542,0.013052,-0.997669
173.000,0,24.097820,21.848120,1.870473,0.002252,-0.698095,-0.001326,0.716000
173.000,1,-10.855440,12.558570,22.741440,0.000631,-0.996727,-0.017595,-0.078904
173.000,2,-22.240930,27.274740,11.662830,-0.013320,-0.726911,0.011644,-0.686504
173.000,3,-8.530327,22.081420,-25.647760,-0.013574,-0.018243,0.018008,-0.999579
174.004,0,24.156140,21.848720,1.895871,0.002933,-0.698158,-0.001098,0.715937
174.004,1,-11.024140,12.471890,24.883170,0.003587,-0.996738,-0.015353,-0.079146
174.004,2,-23.034350,27.461780,11.728290,-0.013117,-0.726913,0.011806,-0.686503
174.004,3,-5.282028,22.304200,-26.432010,-0.013908,-0.018131,0.011794,-0.999669
190.542,0,23.994970,21.798120,2.281500,0.001173,-0.697781,0.007816,0.716268
190.542,1,-11.703480,12.614160,27.372830,0.005325,-0.996061,0.018131,-0.086635
190.542,2,-23.000300,27.377470,11.751940,-0.007296,-0.730448,0.017063,-0.682716
190.542,3,0.376375,22.322690,-25.360310,-0.010683,-0.024786,-0.008133,-0.999603
191.545,0,23.347010,20.883640,1.947241,0.002745,-0.694037,0.022514,0.719582
191.545,1,-12.560910,14.232660,26.597510,0.008574,-0.996248,0.014903,-0.084817
191.545,2,-22.353450,24.976500,11.330490,0.014174,-0.724571,0.010626,-0.688972
191.545,3,0.015492,21.315980,-24.224790,0.011787,-0.008413,-0.017813,-0.999737
192.547,0,21.506300,19.352650,0.687365,0.003557,-0.694271,0.020938,0.719400
192.547,1,-13.898100,16.761390,24.425080,0.005801,-0.990785,0.017314,-0.134205
192.547,2,-22.072390,21.089100,9.905095,0.018377,-0.727944,0.006223,-0.685362
192.547,3,-1.621982,19.688360,-24.201340,0.012030,-0.008202,-0.017818,-0.999735
193.550,0,18.747760,18.008160,-1.253183,-0.007196,-0.699972,0.014341,0.713990
193.550,1,-15.190010,18.956660,21.277670,0.009418,-0.967431,0.006422,-0.252879
193.550,2,-22.552110,17.570060,7.493217,0.018305,-0.727882,0.006299,-0.685429
193.550,3,-4.307094,18.118950,-25.129250,0.009758,-0.010174,-0.017588,-0.999746
194.553,0,16.209480,17.431890,-4.016599,-0.015108,-0.705184,0.009571,0.708799
194.553,1,-16.705480,20.323060,18.192750,0.011126,-0.900220,0.001227,-0.435291
194.553,2,-23.706940,15.524520,4.145270,0.015743,-0.727047,0.005952,-0.686381
194.553,3,-7.775095,17.194840,-26.651270,0.008257,-0.011295,-0.013419,-0.999812
195.553,0,14.627480,17.435990,-7.605572,-0.012935,-0.704307,0.009671,0.709712
195.553,1,-18.582300,20.435750,15.487280,0.013495,-0.794633,0.008282,-0.606883
195.553,2,-25.280750,15.280120,0.205455,0.012866,-0.726761,0.004245,-0.686757
195.553,3,-11.586290,17.048040,-28.511560,0.007655,-0.011673,-0.012509,-0.999824
196.555,0,13.663260,17.741320,-11.679780,-0.011722,-0.703684,0.010081,0.710345
196.555,1,-20.401090,19.615550,12.435540,0.015131,-0.721053,0.008962,-0.692657
196.555,2,-27.071100,16.247340,-3.884404,0.013138,-0.726768,0.004463,-0.686743
196.555,3,-15.603120,17.408220,-30.437990,0.000983,-0.110140,-0.015822,-0.993790
197.557,0,12.953340,18.133910,-16.019070,0.001399,-0.592039,0.020487,0.805648
197.557,1,-22.123170,18.544940,8.832981,0.015199,-0.722226,0.005922,-0.691465
197.557,2,-28.987500,17.590480,-8.035133,0.013786,-0.726861,0.004752,-0.686630
197.557,3,-19.920070,17.943770,-31.892680,0.004394,-0.196089,-0.013510,-0.980483
198.560,0,11.228190,18.425210,-20.173290,0.002760,-0.419317,0.018626,0.907645
198.560,1,-23.972700,17.770300,4.901880,0.014065,-0.722081,0.005306,-0.691645
198.560,2,-30.984400,18.678430,-12.219480,0.014313,-0.726942,0.004977,-0.686531
198.560,3,-24.333730,18.391710,-33.088040,0.006905,-0.258539,-0.012038,-0.965901
199.564,0,8.363814,18.536830,-23.773990,0.008186,-0.225758,0.019891,0.973946
199.564,1,-25.947920,17.464980,0.714442,0.013506,-0.721984,0.005094,-0.691760
199.564,2,-32.997240,19.212620,-16.542990,0.011710,-0.676131,0.012330,-0.736586
199.564,3,-28.802930,18.624650,-34.335250,0.009522,-0.311330,-0.010322,-0.950198
200.566,0,4.567239,18.560360,-26.034770,0.015099,-0.025156,0.019015,0.999389
200.566,1,-27.929740,17.566850,-3.477552,0.013406,-0.721965,0.005060,-0.691781
200.566,2,-34.478900,19.184980,-20.995730,0.012194,-0.608157,0.009282,-0.793669
200.566,3,-33.089390,18.634410,-35.785450,0.012914,-0.337739,-0.007195,-0.941124
201.569,0,0.126675,18.398440,-26.943100,-0.007506,-0.036201,0.013936,0.999219
201.569,1,-29.934710,17.876910,-7.712590,0.013522,-0.721985,0.005106,-0.691758
201.569,2,-35.595940,18.821120,-25.537230,0.012922,-0.556058,0.005418,-0.831025
