filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_5_drones_iteration_5.ply,NBV,5,5,3946078,84.142,77.78219553894478,0.006460527600794438,0.003329591300068322,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_0.ply,NBV,6,0,1268209,38.189,78.2245742819342,0.037933669521748245,0.0033166598969755043,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_1.ply,NBV,6,1,1926566,64.30399999999999,77.95876139835912,0.016763966467708565,0.003328742628527551,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_2.ply,NBV,6,2,2300077,65.562,77.95701700682781,0.016565550035765864,0.0033263039708693785,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_3.ply,NBV,6,3,2823450,74.762,78.03331577159433,0.01549013100396583,0.003325067624020962,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_4.ply,NBV,6,4,3339298,81.731,77.92758315175247,0.006311974338803624,0.0033267617595046702,0.1,0.004559720750500425
NBV_raw_6_drones_iteration_5.ply,NBV,6,5,3576683,81.432,78.06282591881035,0.006314529541317344,0.0033221795357853204,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_0.ply,NBV,7,0,1433315,77.635,78.15428838100613,0.008192310981295397,0.0033254142543894596,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_1.ply,NBV,7,1,2316809,87.212,77.84531854703455,0.003566247639137812,0.0033302137682048147,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_2.ply,NBV,7,2,2873278,97.15,77.97455607982245,0.0024667072924709488,0.0033251684163037726,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_3.ply,NBV,7,3,3454036,97.329,78.13428900056513,0.0024400912648612576,0.003318997953075882,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_4.ply,NBV,7,4,4586758,97.407,78.14583133163758,0.0024091164531211237,0.0033153372851633255,0.1,0.004559720750500425
NBV_raw_7_drones_iteration_5.ply,NBV,7,5,5276592,97.28,77.86768347033772,0.0024211227292932737,0.003328447453073056,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_0.ply,NBV,8,0,1636233,78.779,78.04619079592244,0.008494234215172577,0.0033213553643992103,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_1.ply,NBV,8,1,2583301,97.14699999999999,77.9292187946514,0.002495382954599147,0.003330599508841929,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_2.ply,NBV,8,2,3597568,97.47200000000001,78.13319946109594,0.002416791393547735,0.0033167231342122044,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_3.ply,NBV,8,3,4425596,97.466,77.99167392932969,0.002417549201722698,0.0033245490695393252,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_4.ply,NBV,8,4,5332908,97.50999999999999,78.11119632271726,0.002398196598671339,0.0033146641319330406,0.1,0.004559720750500425
NBV_raw_8_drones_iteration_5.ply,NBV,8,5,6120700,97.485,77.95709094995506,0.0023987586315376654,0.003322061473778888,0.1,0.004559720750500425
NBV_raw_9_drones_iteration_0.ply,NBV,9,0,1121169,42.346000000000004,77.9308143292042,0.03040977581340883,0.0033288397029250074,0.1,0.004559720750500425
NBV_raw_9_drones_iteration_1.ply,NBV,9,1,2026718,66.789,78.10578917782432,0.009780838668788854,0.0033183163442164956,0.1,0.004559720750500425
NBV_raw_9_drones_iteration_2.ply,NBV,9,2,3275769,82.83,78.1676700854294,0.0067895205749104685,0.003313595228025099,0.1,0.004559720750500425
NBV_raw_9_drones_iteration_3.ply,NBV,9,3,4050669,83.878,77.73992790092153,0.006818023847708368,0.0033326625474092548,0.1,0.004559720750500425
