filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_6_drones_iteration_4.ply,NBV,6,4,4871012,94.777,68.38178141132079,0.001714618712990235,0.0018933631938169966,0.1,0.00226216479671721
NBV_raw_6_drones_iteration_5.ply,NBV,6,5,5777946,94.884,68.23364827812678,0.0017223400697816554,0.001897604474348268,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_0.ply,NBV,7,0,1233738,58.577,68.74177868091145,0.004787244933825086,0.001884100709202582,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_1.ply,NBV,7,1,2039333,74.29599999999999,68.0760087168989,0.003655629928556275,0.0019071462432795681,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_2.ply,NBV,7,2,3253258,77.279,67.82021907125306,0.003531299311883375,0.0019088949394102412,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_3.ply,NBV,7,3,4136969,77.883,68.02681461149336,0.003488176968062505,0.0019059291688370752,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_4.ply,NBV,7,4,5270684,78.09899999999999,67.85696477382447,0.0034596454008493675,0.001908325137421826,0.1,0.00226216479671721
NBV_raw_7_drones_iteration_5.ply,NBV,7,5,6025411,81.651,67.91282066780067,0.003293398177435521,0.0019071296899957815,0.1,0.00226216479671721
NBV_raw_8_drones_iteration_0.ply,NBV,8,0,1638778,68.545,69.10319432089227,0.004211388430726969,0.001874781607140398,0.1,0.00226216479671721
NBV_raw_8_drones_iteration_1.ply,NBV,8,1,3317232,90.081,68.33772058323873,0.002185830672121416,0.0018952952318624676,0.1,0.00226216479671721
NBV_raw_8_drones_iteration_2.ply,NBV,8,2,4970592,90.94,68.076890908584,0.0021764475956668455,0.001900893522479707,0.1,0.00226216479671721
NBV_raw_8_drones_iteration_3.ply,NBV,8,3,6072043,94.028,68.2780397908644,0.0020833129640745233,0.0018952287323126457,0.1,0.00226216479671721
